Year,Round,Name,Status
2024,2,Oliver Bearman,unmatched
2024,16,Franco Colapinto,unmatched
2024,17,Franco Colapinto,unmatched
2024,17,Oliver Bearman,unmatched
2024,18,Franco Colapinto,unmatched
2024,19,Franco Colapinto,unmatched
2024,19,Liam Lawson,unmatched
2024,20,Franco Colapinto,unmatched
2024,20,Liam Lawson,unmatched
2024,21,Franco Colapinto,unmatched
2024,21,Liam Lawson,unmatched
2024,21,Oliver Bearman,unmatched
2024,22,Franco Colapinto,unmatched
2024,22,Liam Lawson,unmatched
2024,23,Franco Colapinto,unmatched
2024,23,Liam Lawson,unmatched
2024,24,Franco Colapinto,unmatched
2024,24,Jack Doohan,unmatched
2024,24,Liam Lawson,unmatched
